magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CNSO,9080-DI-0392021,5.0,8.0,3.0
CNSO,DIRI-14-0001869,3.0,28.0,25.0
CNSO,DIRI-14-0002652,1.0,29.0,28.0
CNSO,DIRI-14-0002769,1.0,5.0,4.0
CNSO,DIRI-14-0002850,5.0,14.0,9.0
CNSO,DIRI-14-0004182,2.0,7.0,5.0
CNSO,DIRI-14-0004337,1.0,2.0,1.0
CNSO,DIRI-14-0004643,1.0,19.0,18.0
CNSO,DIRI-14-0004877,2.0,22.0,20.0
CNSO,DIRI-14-0006261,1.0,5.0,4.0
CNSO,DIRI-14-0006424,2.0,3.0,1.0
MDM,5805-14-5216514,4.0,19.0,15.0
MDM,5895-01-4758630,15.0,17.0,2.0
MDM,5895-01-6906682,1.0,4.0,3.0
MDM,5930-01-5997585,2.0,4.0,2.0
MDM,5998-14-4747170,2.0,3.0,1.0
MDM,5998-14-5149587,1.0,2.0,1.0
MDM,5998-14-5540116,1.0,2.0,1.0
MDM,6030-01-5849988,10.0,44.0,34.0
MDM,7010-14-5636071,2.0,7.0,5.0
MDM,7025-01-5388114,3.0,4.0,1.0
MDM,7025-01-5690988,1.0,6.0,5.0
MDM,7025-01-5944767,2.0,5.0,3.0
MDM,7025-01-5997505,2.0,15.0,13.0
MDM,7025-01-6426701,1.0,5.0,4.0
MDM,7025-01-7006887,1.0,4.0,3.0
MDM,7025-15-0162514,2.0,12.0,10.0
MDM,7025-15-0168475,4.0,8.0,4.0
MDM,7050-01-6861556,1.0,2.0,1.0
MDM,9010-DI-1012016,1.0,9.0,8.0
MRC,5805-01-6442680,2.0,3.0,1.0
MRC,5895-01-5435863,1.0,2.0,1.0
MRC,5895-01-6589142,1.0,3.0,2.0
MRC,5895-14-5501846,1.0,4.0,3.0
MRC,5998-01-5863401,10.0,15.0,5.0
MRC,5998-14-5149587,2.0,6.0,4.0
MRC,5998-14-5223329,1.0,2.0,1.0
MRC,5998-14-5649402,1.0,3.0,2.0
MRC,5998-14-5649409,1.0,2.0,1.0
MRC,6130-14-5598821,1.0,2.0,1.0
MRC,7025-01-6844735,11.0,15.0,4.0
MRC,7490-01-7136454,2.0,3.0,1.0
MRC,9010-DI-1012016,6.0,17.0,11.0
PAU,5895-01-5059537,7.0,14.0,7.0
