magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CNSO,5895-14-5147140,2.0,35.0,33.0
CNSO,7025-14-5947791,4.0,37.0,33.0
CNSO,7025-01-6470038,1.0,34.0,33.0
CNSO,DIRI-14-0004612,0.0,33.0,33.0
CNSO,5895-01-5832449,0.0,33.0,33.0
CNSO,5895-14-5854233,0.0,33.0,33.0
CNSO,6130-01-6107198,0.0,32.0,32.0
CHG,7025-01-7061923,7.0,39.0,32.0
CNSO,7010-14-5767614,0.0,32.0,32.0
CNSO,5998-14-4491649,0.0,32.0,32.0
CNSO,5805-14-5649514,0.0,32.0,32.0
BCE,5975-14-5882845,14.0,46.0,32.0
CNSO,6130-14-4109588,0.0,32.0,32.0
CNSO,5998-14-4252180,0.0,32.0,32.0
CNSO,5895-01-6590453,0.0,32.0,32.0
MDM,5805-14-5216513,0.0,31.0,31.0
CNSO,5820-14-5993737,0.0,31.0,31.0
CNSO,5820-14-5993790,0.0,31.0,31.0
CNSO,7025-14-5947569,7.0,38.0,31.0
CNSO,5998-14-5540116,2.0,33.0,31.0
CNSO,5998-14-4852177,0.0,31.0,31.0
CNSO,5998-14-5665643,0.0,31.0,31.0
CNSO,5998-14-4252219,0.0,31.0,31.0
CNSO,7025-14-5849743,6.0,37.0,31.0
CNSO,5895-14-5854205,0.0,31.0,31.0
CNSO,9030-DI-0012017,0.0,31.0,31.0
CNSO,7050-01-5306774,0.0,30.0,30.0
CNSO,5895-14-6103312,0.0,30.0,30.0
CNSO,7025-01-6441061,0.0,30.0,30.0
CNSO,5820-14-5875877,0.0,30.0,30.0
CNSO,5895-14-5470829,9.0,39.0,30.0
CNSO,7025-14-5870914,0.0,30.0,30.0
CNSO,7025-01-5997505,1.0,31.0,30.0
CNSO,5985-14-5537575,0.0,30.0,30.0
CNSO,7021-14-5808962,0.0,30.0,30.0
CNSO,5998-14-4682244,2.0,32.0,30.0
CNSO,7035-01-4616429,0.0,30.0,30.0
BST,5895-14-5892204,33.0,62.0,29.0
CNSO,5999-14-4252263,0.0,29.0,29.0
CNSO,7025-01-5388114,0.0,29.0,29.0
CNSO,5998-14-4515467,0.0,29.0,29.0
CNSO,5895-14-5467415,0.0,29.0,29.0
CNSO,7025-01-6060953,0.0,29.0,29.0
CNSO,5998-14-4852170,2.0,31.0,29.0
CNSO,7025-01-6229697,23.0,52.0,29.0
CNSO,5998-14-5250661,0.0,29.0,29.0
CNSO,7025-01-6680574,1.0,30.0,29.0
CNSO,DIRI-14-0002652,1.0,29.0,28.0
CNSO,5895-01-4751114,0.0,28.0,28.0
CNSO,5998-14-4852168,1.0,29.0,28.0
CNSO,7035-41-0036708,0.0,28.0,28.0
CNSO,8145-14-5886587,2.0,30.0,28.0
CNSO,7010-14-5636076,0.0,28.0,28.0
CNSO,5998-01-6603012,0.0,28.0,28.0
CHG,7025-01-6441285,0.0,28.0,28.0
CNSO,5998-14-5271978,0.0,28.0,28.0
CNSO,6130-14-5378305,0.0,28.0,28.0
CNSO,5998-01-6108956,2.0,29.0,27.0
CNSO,7025-01-7023381,0.0,27.0,27.0
BST,7025-01-6997334,13.0,40.0,27.0
CNSO,5998-14-5149588,0.0,27.0,27.0
CNSO,7025-01-5655430,0.0,27.0,27.0
CNSO,5998-14-4252217,0.0,27.0,27.0
CNSO,5895-14-4197943,0.0,27.0,27.0
CNSO,5895-14-4673217,0.0,27.0,27.0
CNSO,6110-14-5861051,0.0,27.0,27.0
CNSO,5895-01-6548907,41.0,68.0,27.0
CNSO,5998-14-4636521,0.0,27.0,27.0
CNSO,5998-14-4747179,0.0,27.0,27.0
CNSO,7025-14-5812058,2.0,28.0,26.0
CNSO,5975-14-4761893,0.0,26.0,26.0
CNSO,5998-14-4747177,0.0,26.0,26.0
CNSO,7025-01-6429660,0.0,26.0,26.0
CNSO,7025-20-0081962,0.0,26.0,26.0
CNSO,5930-01-5997585,0.0,26.0,26.0
CNSO,5975-14-4515470,0.0,26.0,26.0
CNSO,5998-14-5149587,0.0,26.0,26.0
CNSO,5895-25-1509708,0.0,26.0,26.0
ANTACL,5930-01-6692243,10.0,36.0,26.0
CNSO,DIRI-14-0001869,3.0,28.0,25.0
CNSO,5820-01-6919973,0.0,25.0,25.0
CNSO,5895-15-1894669,0.0,25.0,25.0
CNSO,7025-01-5751525,0.0,25.0,25.0
MDM,7025-01-6441061,0.0,25.0,25.0
CNSO,5895-14-5466668,0.0,25.0,25.0
MDM,7025-01-6441285,0.0,25.0,25.0
CNSO,5895-14-5287995,0.0,25.0,25.0
CNSO,5975-01-6312801,1.0,26.0,25.0
CNSO,9030-DI-0012014,4.0,29.0,25.0
CNSO,7035-01-5660911,0.0,24.0,24.0
CNSO,7025-14-5790536,0.0,24.0,24.0
CNSO,5895-99-9930919,0.0,24.0,24.0
CNSO,7025-14-5651814,1.0,25.0,24.0
CNSO,DIRI-14-0000343,0.0,24.0,24.0
CNSO,5998-14-4852178,4.0,28.0,24.0
CNSO,5998-14-4252181,0.0,24.0,24.0
CNSO,5998-14-5729629,3.0,27.0,24.0
CNSO,5998-14-4252156,0.0,24.0,24.0
CNSO,7025-01-6168725,0.0,24.0,24.0
CNSO,7025-01-6960710,0.0,24.0,24.0
BST,7025-01-6823189,0.0,24.0,24.0
CNSO,5998-14-5648968,4.0,28.0,24.0
CNSO,5998-14-5595819,0.0,23.0,23.0
CNSO,5998-14-4823957,0.0,23.0,23.0
CNSO,5998-14-5216510,0.0,23.0,23.0
CNSO,4910-14-4454050,0.0,23.0,23.0
CNSO,5998-25-1497849,0.0,23.0,23.0
BST,5895-99-7538985,0.0,23.0,23.0
CNSO,5930-15-0140306,0.0,23.0,23.0
CNSO,5998-14-4252258,0.0,23.0,23.0
CNSO,6625-01-6469069,0.0,23.0,23.0
CNSO,5998-14-4823886,0.0,23.0,23.0
CNSO,5998-14-4719011,0.0,23.0,23.0
CNSO,7050-27-0248275,0.0,23.0,23.0
CNSO,7025-01-6301434,0.0,23.0,23.0
CNSO,5820-14-5649877,1.0,24.0,23.0
CNSO,5895-14-5730049,0.0,23.0,23.0
CNSO,5998-14-6035944,0.0,23.0,23.0
CNSO,5998-14-4252157,0.0,23.0,23.0
CNSO,6625-14-5837601,0.0,23.0,23.0
CNSO,5998-14-4252175,0.0,23.0,23.0
CNSO,5998-14-5793538,0.0,23.0,23.0
CNSO,7025-01-5808229,0.0,22.0,22.0
CNSO,7025-01-5122452,0.0,22.0,22.0
CNSO,5805-14-4665560,0.0,22.0,22.0
CNSO,7025-01-6429667,10.0,32.0,22.0
CHG,7025-01-6441061,0.0,22.0,22.0
CNSO,5998-14-4761677,1.0,23.0,22.0
CNSO,5998-14-4852175,5.0,27.0,22.0
CNSO,5930-01-6038201,0.0,22.0,22.0
CNSO,5895-14-5993795,1.0,23.0,22.0
CNSO,5895-01-6982288,0.0,22.0,22.0
CNSO,7025-01-6013219,1.0,23.0,22.0
CNSO,5998-14-5984178,0.0,22.0,22.0
CNSO,7035-01-6158873,0.0,22.0,22.0
CNSO,5930-01-6692243,0.0,22.0,22.0
CNSO,5998-14-4978788,0.0,22.0,22.0
CNSO,7025-01-6007729,0.0,22.0,22.0
CNSO,5820-01-5587809,0.0,22.0,22.0
CNSO,5805-14-4147592,0.0,22.0,22.0
CNSO,5805-01-6565894,0.0,21.0,21.0
CNSO,6625-01-6163728,0.0,21.0,21.0
CNSO,5998-14-4252158,0.0,21.0,21.0
CNSO,5998-14-5416046,0.0,21.0,21.0
CNSO,7025-01-6429656,0.0,21.0,21.0
CNSO,5998-14-5250660,0.0,21.0,21.0
CNSO,5998-14-4252176,0.0,21.0,21.0
CNSO,DIRI-14-0001819,0.0,21.0,21.0
CNSO,5998-14-4252229,0.0,21.0,21.0
CNSO,6625-14-5599893,0.0,21.0,21.0
CNSO,6625-01-6670497,0.0,21.0,21.0
CNSO,6625-01-6670460,0.0,21.0,21.0
CNSO,5985-14-5829777,0.0,21.0,21.0
CNSO,7035-14-5926344,0.0,21.0,21.0
CNSO,6130-14-5648974,18.0,39.0,21.0
CNSO,5895-01-5838449,0.0,21.0,21.0
CNSO,7025-15-2026126,0.0,21.0,21.0
CNSO,5998-14-4978787,0.0,20.0,20.0
CNSO,DIRI-14-0004877,2.0,22.0,20.0
CNSO,5895-14-5812197,0.0,20.0,20.0
BST,5985-14-5918595,0.0,20.0,20.0
