nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
5998-14-5649251,-25.0,7,-3.57,150.0,125.0
7025-14-5884250,-25.0,1,-25.0,36.0,11.0
5820-22-6224794,-25.0,4,-6.25,34.0,9.0
5810-14-5872750,-24.0,2,-12.0,26.0,2.0
5998-14-5540116,24.0,3,8.0,17.0,41.0
6130-14-5839922,-24.0,1,-24.0,25.0,1.0
7025-01-6162699,-24.0,4,-6.0,32.0,8.0
7025-14-5651814,24.0,1,24.0,1.0,25.0
7010-14-5699183,-24.0,1,-24.0,26.0,2.0
5998-14-5649434,-24.0,8,-3.0,89.0,65.0
7050-01-6000825,-24.0,3,-8.0,35.0,11.0
5825-01-5391144,-23.0,2,-11.5,35.0,12.0
5975-01-6312801,22.0,2,11.0,5.0,27.0
5895-14-5993795,22.0,1,22.0,1.0,23.0
5998-14-4823886,-22.0,2,-11.0,26.0,4.0
5998-14-4761677,22.0,1,22.0,1.0,23.0
7025-01-6013219,22.0,1,22.0,1.0,23.0
5805-14-5407613,22.0,3,7.33,485.0,507.0
5805-01-6721744,22.0,5,4.4,46.0,68.0
7025-01-6429667,22.0,1,22.0,10.0,32.0
7021-14-5732755,-21.0,2,-10.5,27.0,6.0
7025-14-6066248,-21.0,1,-21.0,49.0,28.0
5805-14-5135582,-21.0,1,-21.0,22.0,1.0
7050-01-6861556,21.0,3,7.0,42.0,63.0
5985-14-5511392,21.0,2,10.5,20.0,41.0
9010-DI-1012013,-21.0,1,-21.0,23.0,2.0
6130-14-5649300,20.0,4,5.0,38.0,58.0
6130-01-6798090,-20.0,1,-20.0,22.0,2.0
7010-14-5961808,-20.0,8,-2.5,52.0,32.0
5805-14-5883097,20.0,2,10.0,25.0,45.0
6130-14-4532514,-20.0,1,-20.0,21.0,1.0
5985-14-4659246,20.0,2,10.0,20.0,40.0
7025-14-5812059,-20.0,3,-6.67,25.0,5.0
DIRI-14-0004877,20.0,1,20.0,2.0,22.0
5835-12-4150504,-20.0,2,-10.0,29.0,9.0
7025-01-5379117,-20.0,2,-10.0,40.0,20.0
7025-14-5930620,20.0,1,20.0,3.0,23.0
5998-14-5126208,-20.0,1,-20.0,21.0,1.0
7025-14-5947596,-20.0,3,-6.67,29.0,9.0
5895-01-5555276,19.0,2,9.5,202.0,221.0
5998-14-4536850,-19.0,1,-19.0,20.0,1.0
7025-17-1278675,19.0,1,19.0,5.0,24.0
7025-01-6680574,19.0,2,9.5,13.0,32.0
7010-14-5862611,19.0,1,19.0,4.0,23.0
6130-14-5129607,19.0,1,19.0,1.0,20.0
5895-14-6008059,-19.0,1,-19.0,21.0,2.0
5895-14-5927592,18.0,1,18.0,1.0,19.0
5805-14-5899554,-18.0,1,-18.0,23.0,5.0
5895-14-5637548,18.0,1,18.0,4.0,22.0
