magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
BCE;9010-DI-0012022;26.0;80.0;54.0;SURPLUS;54.0;0.325
CNSO;7025-01-6720552;1.0;55.0;54.0;SURPLUS;54.0;0.018
BST;7010-14-5933477;56.0;3.0;-53.0;MANQUE;53.0;18.66
CNSO;5998-14-5649253;6.0;59.0;53.0;SURPLUS;53.0;0.102
MRC;7025-01-6305849;55.0;3.0;-52.0;MANQUE;52.0;18.327
MRC;7025-01-6667665;53.0;1.0;-52.0;MANQUE;52.0;52.947
CNSO;7010-14-5870866;3.0;55.0;52.0;SURPLUS;52.0;0.055
CNSO;7035-14-5499899;2.0;54.0;52.0;SURPLUS;52.0;0.037
MRC;7025-15-0137638;61.0;10.0;-51.0;MANQUE;51.0;6.099
CNSO;5965-14-4177295;4.0;55.0;51.0;SURPLUS;51.0;0.073
MDM;5895-20-0078044;52.0;1.0;-51.0;MANQUE;51.0;51.948
CGC;7025-01-7006887;56.0;5.0;-51.0;MANQUE;51.0;11.198
CNSO;5998-14-4392518;1.0;52.0;51.0;SURPLUS;51.0;0.019
MDM;5998-20-0085537;52.0;1.0;-51.0;MANQUE;51.0;51.948
MRC;7050-20-0042340;51.0;1.0;-50.0;MANQUE;50.0;50.949
BST;6130-14-5797008;52.0;2.0;-50.0;MANQUE;50.0;25.987
BST;7025-01-7016891;73.0;23.0;-50.0;MANQUE;50.0;3.174
CNSO;5915-14-4852181;10.0;59.0;49.0;SURPLUS;49.0;0.169
CNSO;6130-14-4852167;10.0;59.0;49.0;SURPLUS;49.0;0.169
CNSO;5998-14-5729634;3.0;52.0;49.0;SURPLUS;49.0;0.058
MRC;5998-14-5648968;53.0;5.0;-48.0;MANQUE;48.0;10.598
CHG;5805-14-5649505;50.0;2.0;-48.0;MANQUE;48.0;24.988
MRC;5895-01-6590453;57.0;10.0;-47.0;MANQUE;47.0;5.699
MDM;5998-14-5149583;53.0;6.0;-47.0;MANQUE;47.0;8.832
CNSO;5998-14-4852163;9.0;56.0;47.0;SURPLUS;47.0;0.161
PAU;9010-DI-0012022;6.0;53.0;47.0;SURPLUS;47.0;0.113
CNSO;9030-DI-1012015;50.0;4.0;-46.0;MANQUE;46.0;12.497
MRC;5998-14-5216512;48.0;2.0;-46.0;MANQUE;46.0;23.988
BLD;5895-14-5818581;49.0;3.0;-46.0;MANQUE;46.0;16.328
CNSO;5805-01-6721744;11.0;57.0;46.0;SURPLUS;46.0;0.193
BST;7025-14-5849743;47.0;1.0;-46.0;MANQUE;46.0;46.953
CNSO;6130-14-5641779;2.0;48.0;46.0;SURPLUS;46.0;0.042
CNSO;6130-14-5649300;4.0;49.0;45.0;SURPLUS;45.0;0.082
BST;5998-14-5649253;47.0;2.0;-45.0;MANQUE;45.0;23.488
CNSO;8145-14-5955933;1.0;46.0;45.0;SURPLUS;45.0;0.022
CNSO;5998-14-5314940;4.0;48.0;44.0;SURPLUS;44.0;0.083
CNSO;5998-14-4491657;2.0;46.0;44.0;SURPLUS;44.0;0.043
MRC;5998-14-5890370;46.0;2.0;-44.0;MANQUE;44.0;22.989
CGC;7025-01-6519677;46.0;2.0;-44.0;MANQUE;44.0;22.989
MDM;5810-14-5860296;48.0;4.0;-44.0;MANQUE;44.0;11.997
CNSO;5998-14-4491641;8.0;51.0;43.0;SURPLUS;43.0;0.157
CNSO;7025-01-5259491;2.0;45.0;43.0;SURPLUS;43.0;0.044
BST;5805-01-6442680;35.0;78.0;43.0;SURPLUS;43.0;0.449
BST;9080-DI-0392021;45.0;3.0;-42.0;MANQUE;42.0;14.995
MRC;5998-14-5115514;43.0;1.0;-42.0;MANQUE;42.0;42.957
MDM;5998-14-5115539;46.0;4.0;-42.0;MANQUE;42.0;11.497
BST;5895-14-5892200;42.0;83.0;41.0;SURPLUS;41.0;0.506
CNSO;5998-14-4852169;7.0;48.0;41.0;SURPLUS;41.0;0.146
CNSO;7025-14-5884199;9.0;50.0;41.0;SURPLUS;41.0;0.18
MRC;5998-14-4535521;42.0;1.0;-41.0;MANQUE;41.0;41.958
BST;5825-64-0000616;46.0;5.0;-41.0;MANQUE;41.0;9.198
CNSO;5998-14-5649411;5.0;46.0;41.0;SURPLUS;41.0;0.109
MRC;5998-14-5649230;48.0;8.0;-40.0;MANQUE;40.0;5.999
CHG;6130-14-4852167;44.0;4.0;-40.0;MANQUE;40.0;10.997
PAU;7025-01-6997334;42.0;2.0;-40.0;MANQUE;40.0;20.99
CGC;5998-14-5649253;42.0;2.0;-40.0;MANQUE;40.0;20.99
MDM;5998-20-0085538;40.0;1.0;-39.0;MANQUE;39.0;39.96
CNSO;5810-14-5860297;1.0;40.0;39.0;SURPLUS;39.0;0.025
CNSO;7025-01-6429635;4.0;43.0;39.0;SURPLUS;39.0;0.093
PAU;5895-01-6590453;42.0;3.0;-39.0;MANQUE;39.0;13.995
CHG;5915-14-4852181;43.0;4.0;-39.0;MANQUE;39.0;10.747
CGC;7025-01-5455184;40.0;1.0;-39.0;MANQUE;39.0;39.96
CNSO;5998-14-4852172;2.0;41.0;39.0;SURPLUS;39.0;0.049
CNSO;5998-14-4852180;3.0;42.0;39.0;SURPLUS;39.0;0.071
PAU;6130-14-5648974;40.0;2.0;-38.0;MANQUE;38.0;19.99
MRC;5915-14-4852179;39.0;1.0;-38.0;MANQUE;38.0;38.961
BST;5895-01-6658656;40.0;2.0;-38.0;MANQUE;38.0;19.99
CGC;5998-14-5115514;39.0;1.0;-38.0;MANQUE;38.0;38.961
CNSO;5895-14-5223346;1.0;39.0;38.0;SURPLUS;38.0;0.026
BST;7025-14-5961091;9.0;46.0;37.0;SURPLUS;37.0;0.196
MRC;5998-14-5649253;43.0;6.0;-37.0;MANQUE;37.0;7.165
CGC;7025-14-5812058;38.0;1.0;-37.0;MANQUE;37.0;37.962
CNSO;5805-14-5883097;7.0;44.0;37.0;SURPLUS;37.0;0.159
BST;7035-01-6852648;39.0;2.0;-37.0;MANQUE;37.0;19.49
BST;7025-14-5894540;38.0;1.0;-37.0;MANQUE;37.0;37.962
BST;6130-01-6470900;39.0;2.0;-37.0;MANQUE;37.0;19.49
BST;5975-14-5882845;44.0;8.0;-36.0;MANQUE;36.0;5.499
ANTACL;6130-14-5648974;42.0;6.0;-36.0;MANQUE;36.0;6.999
MRC;5998-14-5729634;42.0;6.0;-36.0;MANQUE;36.0;6.999
CNSO;5998-14-5649223;5.0;41.0;36.0;SURPLUS;36.0;0.122
BCE;5895-01-6412003;44.0;8.0;-36.0;MANQUE;36.0;5.499
CNSO;5998-14-5649434;7.0;42.0;35.0;SURPLUS;35.0;0.167
CHG;7025-01-6519677;36.0;1.0;-35.0;MANQUE;35.0;35.964
MRC;7025-14-5812058;37.0;2.0;-35.0;MANQUE;35.0;18.491
CGC;7025-14-6034814;36.0;1.0;-35.0;MANQUE;35.0;35.964
BST;5985-14-5511392;5.0;40.0;35.0;SURPLUS;35.0;0.125
BST;7025-14-5874071;39.0;5.0;-34.0;MANQUE;34.0;7.798
PAU;5998-14-5709364;37.0;3.0;-34.0;MANQUE;34.0;12.329
CNSO;5998-14-4491656;4.0;38.0;34.0;SURPLUS;34.0;0.105
CNSO;7025-01-6241110;3.0;37.0;34.0;SURPLUS;34.0;0.081
CNSO;5120-12-4068022;23.0;57.0;34.0;SURPLUS;34.0;0.404
CNSO;5998-14-5649409;1.0;35.0;34.0;SURPLUS;34.0;0.029
CHG;7025-01-7006887;7.0;41.0;34.0;SURPLUS;34.0;0.171
CNSO;9010-DI-1012016;42.0;8.0;-34.0;MANQUE;34.0;5.249
CNSO;5820-14-5699765;64.0;98.0;34.0;SURPLUS;34.0;0.653
MRC;7025-01-6409763;37.0;3.0;-34.0;MANQUE;34.0;12.329
CNSO;7025-01-7006887;46.0;12.0;-34.0;MANQUE;34.0;3.833
MDM;6030-01-5849988;10.0;44.0;34.0;SURPLUS;34.0;0.227
