nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
7050-14-5714044;1;-69.0;-69.0;-69.0;-69.0;75.0;75.0;6.0;6.0;1;1.0;;69.0;
7025-15-0010786;2;68.0;34.0;-20.0;88.0;34.0;17.0;102.0;51.0;2;1.0;1.0;20.0;88.0
5998-14-4491651;1;68.0;68.0;68.0;68.0;4.0;4.0;72.0;72.0;1;;1.0;;68.0
5998-14-6021506;1;67.0;67.0;67.0;67.0;4.0;4.0;71.0;71.0;1;;1.0;;67.0
7025-14-5714152;2;-67.0;-33.5;-65.0;-2.0;75.0;37.5;8.0;4.0;2;2.0;;67.0;
7025-01-7068901;2;65.0;32.5;-16.0;81.0;33.0;16.5;98.0;49.0;2;1.0;1.0;16.0;81.0
7025-14-5534842;2;65.0;32.5;0.0;65.0;7.0;3.5;72.0;36.0;2;;1.0;;65.0
5998-14-5115539;3;-65.0;-21.67;-42.0;-10.0;71.0;23.67;6.0;2.0;3;3.0;;65.0;
6030-01-4858177;1;65.0;65.0;65.0;65.0;10.0;10.0;75.0;75.0;1;;1.0;;65.0
6130-14-5797008;3;-64.0;-21.33;-50.0;-3.0;84.0;28.0;20.0;6.67;3;3.0;;64.0;
7025-14-6034814;3;-63.0;-21.0;-35.0;-9.0;72.0;24.0;9.0;3.0;3;3.0;;63.0;
7025-01-6013212;1;62.0;62.0;62.0;62.0;7.0;7.0;69.0;69.0;1;;1.0;;62.0
5805-14-5795343;1;-62.0;-62.0;-62.0;-62.0;63.0;63.0;1.0;1.0;1;1.0;;62.0;
7025-01-5388114;2;62.0;31.0;1.0;61.0;8.0;4.0;70.0;35.0;2;;2.0;;62.0
7025-01-6720552;8;-61.0;-7.62;-21.0;54.0;128.0;16.0;67.0;8.38;8;7.0;1.0;115.0;54.0
7025-01-7016891;8;-61.0;-7.62;-50.0;14.0;157.0;19.62;96.0;12.0;8;4.0;4.0;93.0;32.0
5998-14-5223322;1;61.0;61.0;61.0;61.0;2.0;2.0;63.0;63.0;1;;1.0;;61.0
5998-14-4491658;1;61.0;61.0;61.0;61.0;3.0;3.0;64.0;64.0;1;;1.0;;61.0
5998-14-4491645;1;60.0;60.0;60.0;60.0;4.0;4.0;64.0;64.0;1;;1.0;;60.0
7025-01-6533455;1;-60.0;-60.0;-60.0;-60.0;71.0;71.0;11.0;11.0;1;1.0;;60.0;
7025-01-6525478;1;60.0;60.0;60.0;60.0;2.0;2.0;62.0;62.0;1;;1.0;;60.0
6130-14-4491648;1;59.0;59.0;59.0;59.0;2.0;2.0;61.0;61.0;1;;1.0;;59.0
