magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CHG,7025-14-5955956,6.0,1.0,-5.0
CHG,7025-20-0063155,7.0,2.0,-5.0
CHG,7025-66-1638304,3.0,1.0,-2.0
CHG,7025-99-8201129,7.0,1.0,-6.0
CHG,7035-01-6874627,2.0,1.0,-1.0
CHG,7050-14-5464042,2.0,1.0,-1.0
CHG,7050-20-0042340,33.0,11.0,-22.0
CHG,7490-01-6289942,11.0,6.0,-5.0
CNSO,5805-01-6666436,15.0,3.0,-12.0
CNSO,5805-14-5694774,9.0,7.0,-2.0
CNSO,5805-71-0399731,10.0,5.0,-5.0
CNSO,5820-01-5587404,2.0,1.0,-1.0
CNSO,5820-14-5875037,2.0,1.0,-1.0
CNSO,5820-14-5875891,61.0,1.0,-60.0
CNSO,5895-01-6075842,25.0,12.0,-13.0
CNSO,5895-01-6548830,5.0,4.0,-1.0
CNSO,5895-01-6659304,15.0,2.0,-13.0
CNSO,5895-01-6692703,6.0,3.0,-3.0
CNSO,5895-01-6998026,22.0,1.0,-21.0
CNSO,5895-14-4839705,4.0,2.0,-2.0
CNSO,5895-14-5166738,3.0,1.0,-2.0
CNSO,5895-14-5854195,20.0,8.0,-12.0
CNSO,5895-20-0078044,14.0,4.0,-10.0
CNSO,5975-14-5882009,4.0,2.0,-2.0
CNSO,5985-14-5147145,2.0,1.0,-1.0
CNSO,5998-01-4565949,7.0,3.0,-4.0
CNSO,5998-14-5525011,3.0,2.0,-1.0
CNSO,5998-14-5812746,16.0,6.0,-10.0
CNSO,5998-14-5900499,37.0,12.0,-25.0
CNSO,5998-20-0085537,14.0,6.0,-8.0
CNSO,5998-20-0085538,12.0,3.0,-9.0
CNSO,6060-27-0676923,6.0,3.0,-3.0
CNSO,6130-01-6429643,5.0,2.0,-3.0
CNSO,6130-14-5875950,13.0,10.0,-3.0
CNSO,6130-15-1804826,17.0,4.0,-13.0
CNSO,6625-00-6495070,2.0,1.0,-1.0
CNSO,6625-01-3504320,2.0,1.0,-1.0
CNSO,6625-01-4895585,3.0,1.0,-2.0
CNSO,6625-14-5670399,7.0,5.0,-2.0
CNSO,6625-14-6066670,3.0,1.0,-2.0
CNSO,6730-14-5730476,4.0,1.0,-3.0
CNSO,7010-01-6292498,4.0,2.0,-2.0
CNSO,7010-14-5696893,50.0,21.0,-29.0
CNSO,7010-14-5699183,26.0,2.0,-24.0
CNSO,7010-14-5944723,32.0,1.0,-31.0
CNSO,7025-01-5160134,14.0,8.0,-6.0
CNSO,7025-01-5621812,21.0,14.0,-7.0
CNSO,7025-01-6108647,4.0,2.0,-2.0
CNSO,7025-01-6266751,10.0,4.0,-6.0
CNSO,7025-01-6336396,27.0,3.0,-24.0
CNSO,7025-01-6471720,84.0,22.0,-62.0
CNSO,7025-01-6533455,71.0,11.0,-60.0
CNSO,7025-01-6571266,8.0,2.0,-6.0
CNSO,7025-01-6611870,22.0,7.0,-15.0
CNSO,7025-01-6671018,31.0,4.0,-27.0
CNSO,7025-01-7006887,46.0,12.0,-34.0
CNSO,7025-14-5694773,18.0,6.0,-12.0
CNSO,7025-14-5947596,12.0,1.0,-11.0
CNSO,7025-14-6034814,16.0,7.0,-9.0
CNSO,7025-15-2332996,3.0,2.0,-1.0
CNSO,7025-17-1278676,4.0,1.0,-3.0
CNSO,7025-20-0063155,36.0,31.0,-5.0
CNSO,7035-01-6773797,24.0,10.0,-14.0
CNSO,7035-14-5860689,10.0,9.0,-1.0
CNSO,7035-14-5916707,17.0,10.0,-7.0
CNSO,7490-01-5822347,7.0,4.0,-3.0
CNSO,9010-DI-1012013,23.0,2.0,-21.0
CNSO,9010-DI-1012016,42.0,8.0,-34.0
CNSO,9010-DI-1022014,33.0,3.0,-30.0
CNSO,9010-DI-1072013,8.0,2.0,-6.0
CNSO,9010-DI-1072016,50.0,45.0,-5.0
CNSO,9020-DI-1012014,182.0,2.0,-180.0
CNSO,9030-DI-1012015,50.0,4.0,-46.0
CNSO,DIRI-14-0000189,11.0,1.0,-10.0
CNSO,DIRI-14-0000564,2.0,1.0,-1.0
CNSO,DIRI-14-0003149,38.0,11.0,-27.0
MDM,5805-01-6721744,9.0,1.0,-8.0
MDM,5805-14-4813168,36.0,11.0,-25.0
MDM,5805-14-5117389,20.0,2.0,-18.0
MDM,5805-14-5899554,23.0,5.0,-18.0
MDM,5810-14-5668143,4.0,1.0,-3.0
MDM,5810-14-5860295,6.0,1.0,-5.0
MDM,5810-14-5860296,48.0,4.0,-44.0
MDM,5810-14-5879461,2.0,1.0,-1.0
MDM,5820-14-5697607,5.0,2.0,-3.0
MDM,5895-01-6548907,11.0,3.0,-8.0
MDM,5895-01-6590453,9.0,4.0,-5.0
MDM,5895-14-5147138,2.0,1.0,-1.0
MDM,5895-14-5270509,8.0,2.0,-6.0
MDM,5895-14-5454738,9.0,3.0,-6.0
MDM,5895-14-5606807,57.0,2.0,-55.0
MDM,5895-14-5781725,96.0,8.0,-88.0
MDM,5895-14-5878983,10.0,2.0,-8.0
MDM,5895-20-0078044,52.0,1.0,-51.0
MDM,5895-25-1626130,11.0,1.0,-10.0
MDM,5895-39-0013584,12.0,1.0,-11.0
MDM,5930-01-6692243,5.0,3.0,-2.0
MDM,5975-01-6429653,3.0,1.0,-2.0
MDM,5975-14-5882845,15.0,2.0,-13.0
